id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
106,2014-09-09 18:55:46,3.2N,137.2E,,2.8e10,3.2N 137.2E
107,2014-09-05 21:37:26,22.7N,150.0W,,3.5e10,22.7N 150.0W
108,2014-08-29 23:15:39,6.2S,49.9W,,2.6e10,6.2S 49.9W
109,2014-08-28 03:07:45,3.2N,45.4W,,3.4e10,3.2N 45.4W
110,2014-08-23 06:29:41,61.7S,132.6E,16.2,381.9e10,61.7S 132.6E
111,2014-07-29 07:38:07,49.2S,172.2W,,7.3e10,49.2S 172.2W
112,2014-07-29 03:07:43,33.9S,115.9W,,5.3e10,33.9S 115.9W
113,2014-06-28 02:40:07,18.9N,141.2E,12.4,24.5e10,18.9N 141.2E
114,2014-06-26 05:54:41,71.5S,93.4E,11.2,6.1e10,71.5S 93.4E
115,2014-05-29 01:12:36,21.9N,131.1W,,5.8e10,21.9N 131.1W
116,2014-05-16 20:06:28,39.4S,95.9W,18.0,13.6e10,39.4S 95.9W
117,2014-05-16 12:42:48,44.2S,176.2W,16.5,30.9e10,44.2S 176.2W
118,2014-05-08 19:42:37,36.9S,87.3E,19.0,1050000000000,36.9S 87.3E
119,2014-03-29 13:45:41,28.7S,121.5E,16.3,3.9e10,28.7S 121.5E
120,2014-03-18 11:02:37,0.0N,111.8W,,540000000000,0.0N 111.8W
121,2014-03-03 15:00:21,29.0S,94.9W,,9.4e10,29.0S 94.9W
122,2014-02-18 12:50:44,32.8S,61.5W,,2.6e10,32.8S 61.5W
123,2014-02-13 06:47:42,13.3N,110.7W,,630000000000,13.3N 110.7W
124,2014-01-15 02:46:19,18.5S,141.8E,,14.0e10,18.5S 141.8E
125,2014-01-12 16:00:48,2.9N,64.4E,16.2,7.8e10,2.9N 64.4E
126,2014-01-08 17:05:34,1.3S,147.6E,44.8,3.1e10,1.3S 147.6E
127,2013-12-23 08:30:57,39.5N,2.0E,15.1,14.7e10,39.5N 2.0E
128,2013-12-08 03:10:09,32.8N,165.1W,11.8,6.4e10,32.8N 165.1W
129,2013-11-21 01:50:35,44.7N,35.3E,12.4,7.5e10,44.7N 35.3E
130,2013-10-12 16:06:45,19.1S,25.0W,12.8,161.0e10,19.1S 25.0W
131,2013-10-09 17:27:36,,,,6.0e10, 
132,2013-09-24 15:31:16,10.3S,164.7W,,16.0e10,10.3S 164.7W
133,2013-08-12 18:08:02,34.4S,118.2E,,4.4e10,34.4S 118.2E
134,2013-07-31 07:00:38,,,,3.9e10, 
135,2013-07-31 03:50:14,31.8S,137.1E,17.8,6.9e10,31.8S 137.1E
136,2013-07-30 02:36:58,50.2S,90.2E,18.8,39.0e10,50.2S 90.2E
137,2013-07-27 08:30:36,0.3N,156.2E,22.1,12.0e10,0.3N 156.2E
138,2013-07-26 11:32:26,21.0N,178.5W,,2.0e10,21.0N 178.5W
139,2013-07-18 00:46:37,,,,2.2e10, 
140,2013-06-13 02:51:14,,,,2.2e10, 
141,2013-06-01 22:49:48,65.6S,138.4E,,3.4e10,65.6S 138.4E
142,2013-05-14 23:20:21,3.0S,76.4E,,2.0e10,3.0S 76.4E
143,2013-04-30 08:40:38,35.5N,30.7W,12.1,5110000000000,35.5N 30.7W
144,2013-04-21 06:23:12,28.1S,64.6W,14.9,106.6e10,28.1S 64.6W
145,2013-03-12 10:32:59,32.7S,17.1E,,2.9e10,32.7S 17.1E
146,2013-02-20 13:13:07,23.0S,38.8W,13.6,3.2e10,23.0S 38.8W
147,2013-02-15 03:20:33,54.8N,61.1E,18.6,3.75e14,54.8N 61.1E
148,2013-02-07 13:12:24,18.8S,158.6W,,6.5e10,18.8S 158.6W
149,2013-01-25 07:40:18,60.3N,64.6W,,3400000000000,60.3N 64.6W
150,2013-01-12 03:04:21,15.1S,155.6W,,4.8e10,15.1S 155.6W
151,2012-12-30 07:25:35,17.3N,83.6W,,19.8e10,17.3N 83.6W
152,2012-12-18 11:19:17,,,,2.7e10, 
153,2012-11-20 20:37:31,2.5N,29.6E,14.3,2.5e10,2.5N 29.6E
154,2012-11-20 06:25:11,8.0S,86.0W,,12.0e10,8.0S 86.0W
155,2012-10-25 15:57:19,,,,3.0e10, 
156,2012-10-19 16:26:22,75.4S,49.6E,13.2,2.3e10,75.4S 49.6E
157,2012-10-09 00:54:55,51.2N,84.6W,13.5,21.0e10,51.2N 84.6W
158,2012-10-03 22:50:12,41.5S,21.9W,17.0,28.0e10,41.5S 21.9W
159,2012-10-02 16:38:38,8.1S,111.9W,15.4,47.0e10,8.1S 111.9W
160,2012-09-28 05:44:12,6.9S,73.7E,,3.8e10,6.9S 73.7E
161,2012-09-18 19:34:39,1.2N,52.2W,18.3,24.4e10,1.2N 52.2W
162,2012-09-11 22:07:30,18.9S,105.2E,,5.2e10,18.9S 105.2E
163,2012-09-10 01:03:32,69.8S,111.7W,16.9,2.3e10,69.8S 111.7W
164,2012-08-27 06:57:43,18.3S,64.2E,28.9,6.8e10,18.3S 64.2E
165,2012-08-26 14:55:47,11.8N,117.0E,12.7,24.9e10,11.8N 117.0E
166,2012-08-13 05:31:53,,,,3.3e10, 
167,2012-07-27 04:19:50,63.1N,172.3E,,3.4e10,63.1N 172.3E
168,2012-07-25 07:48:20,36.4N,41.5E,18.5,13.3e10,36.4N 41.5E
169,2012-06-05 07:44:54,,,,2.4e10, 
170,2012-05-25 11:31:24,41.8S,36.2W,,6.0e10,41.8S 36.2W
171,2012-05-22 08:31:42,,,,21.1e10, 
172,2012-05-15 11:04:17,61.8S,135.5W,17.1,13.2e10,61.8S 135.5W
173,2012-05-04 21:54:49,76.7N,10.6W,,22.9e10,76.7N 10.6W
174,2012-04-23 22:01:10,36.2N,107.4E,,4.4e10,36.2N 107.4E
175,2012-04-21 16:08:23,15.8S,174.8W,,14.3e10,15.8S 174.8W
176,2012-04-19 22:12:10,5.5N,16.8E,,3.0e10,5.5N 16.8E
177,2012-04-02 16:50:33,28.1N,95.2W,,3.2e10,28.1N 95.2W
178,2012-03-12 06:40:44,2.5N,139.8E,11.8,9.9e10,2.5N 139.8E
179,2012-03-03 21:28:24,7.8N,2.7E,,10.1e10,7.8N 2.7E
180,2012-03-01 03:12:40,46.9N,29.8W,,2.2e10,46.9N 29.8W
181,2012-02-24 19:11:41,22.7S,30.8E,,3.7e10,22.7S 30.8E
182,2012-02-17 10:47:16,3.2S,39.9W,,15.4e10,3.2S 39.9W
183,2012-02-12 05:25:52,31.7S,54.9E,,14.0e10,31.7S 54.9E
